timestamp,ax,ay,az,gx,gy,gz
221861,0.253295898,0.96472168,0.210327148,81.29882813,14.83154297,19.47021484
221887,0.318603516,0.87109375,0.164916992,34.54589844,31.55517578,14.89257813
221913,0.474975586,0.880493164,0.184814453,26.97753906,24.59716797,-1.037597656
221939,0.541992188,0.766357422,0.107910156,3.723144531,31.43310547,-1.037597656
221966,0.236206055,0.842407227,0.708740234,-28.19824219,45.28808594,-15.31982422
221993,-0.029296875,1.049560547,0.661865234,-16.17431641,19.04296875,-12.75634766
222019,0.155761719,1.390625,0.405395508,-73.18115234,-3.784179688,-21.17919922
222045,0.030029297,1.067016602,0.566040039,-117.0043945,-32.04345703,-18.61572266
222071,0.080810547,0.699951172,0.565673828,-164.4287109,-59.38720703,-29.54101563
222097,-0.001464844,0.775512695,0.964477539,-129.5776367,-76.35498047,-6.530761719
222124,0.235595703,0.657470703,0.779418945,-76.29394531,-85.63232422,7.934570313
222150,0.391357422,0.888061523,0.502929688,-32.2265625,-80.99365234,5.554199219
222176,0.538208008,0.764892578,0.318115234,-43.70117188,-74.58496094,2.197265625
222202,0.630981445,0.775756836,0.078613281,-42.66357422,-54.07714844,1.892089844
222228,0.676391602,0.806152344,-0.113037109,-53.22265625,-20.26367188,3.784179688
222255,0.556152344,0.918334961,0.056884766,-36.07177734,43.70117188,25.20751953
222281,0.559082031,0.688354492,0.180175781,-36.43798828,92.95654297,42.35839844
222307,0.146606445,0.618530273,0.825195313,9.399414063,167.7856445,50.78125
222333,-0.193725586,0.504760742,1.231567383,21.17919922,137.4511719,61.34033203
222359,-0.922241211,0.26574707,2.626342773,109.4970703,-75.92773438,5.737304688
222386,0.03112793,0.759277344,1.278564453,13.12255859,-39.42871094,5.981445313
222412,0.179077148,0.288452148,0.491943359,-15.07568359,-51.39160156,-18.00537109
222438,-0.053100586,0.67980957,0.894897461,-3.601074219,-86.36474609,-20.14160156
222464,0.173461914,0.847045898,0.824707031,-23.01025391,-109.0087891,-28.86962891
222490,0.401245117,0.763061523,0.351196289,-18.12744141,-117.1875,-31.12792969
222517,0.505859375,0.765380859,0.16809082,16.29638672,-105.1635742,-29.05273438
222543,0.541870117,0.845581055,0.083007813,28.01513672,-84.10644531,-21.72851563
222569,0.640625,0.805419922,-0.192626953,20.38574219,-54.07714844,-11.04736328
222595,0.651977539,0.763183594,-0.175048828,15.99121094,-16.35742188,-8.178710938
222622,0.578735352,0.812255859,-0.047241211,17.63916016,16.78466797,2.136230469
222648,0.545288086,0.808105469,0.128540039,6.103515625,62.74414063,20.32470703
