timestamp,ax,ay,az,gx,gy,gz
412003,-0.024291992,0.917480469,0.422607422,1.037597656,-5.004882813,-3.234863281
412029,-0.024658203,0.917114258,0.425170898,1.220703125,-4.760742188,-3.662109375
412055,-0.030151367,0.925415039,0.427856445,1.953125,-4.272460938,-3.601074219
412081,-0.033203125,0.923706055,0.424804688,2.319335938,-4.272460938,-2.685546875
412107,-0.032714844,0.924804688,0.427490234,2.258300781,-4.577636719,-2.258300781
412133,-0.031616211,0.928588867,0.435058594,1.46484375,-4.699707031,-2.563476563
412159,-0.037231445,0.938232422,0.419555664,1.892089844,-4.577636719,-2.258300781
412185,-0.047119141,0.937255859,0.423950195,1.831054688,-4.455566406,-1.770019531
412211,-0.037963867,0.914916992,0.4296875,1.586914063,-4.760742188,-1.159667969
412237,-0.017578125,0.89855957,0.426879883,1.220703125,-5.37109375,-1.770019531
412264,-0.016479492,0.899536133,0.419189453,1.831054688,-5.554199219,-2.624511719
412290,-0.022338867,0.913452148,0.423828125,2.258300781,-5.554199219,-2.807617188
412316,-0.024169922,0.916015625,0.424438477,1.46484375,-6.042480469,-3.112792969
412342,-0.025390625,0.91784668,0.41796875,0.732421875,-6.164550781,-3.356933594
412368,-0.022338867,0.92199707,0.416625977,1.220703125,-5.493164063,-3.41796875
412395,-0.030883789,0.928222656,0.424560547,2.075195313,-4.638671875,-3.479003906
412421,-0.030273438,0.923461914,0.419067383,0.610351563,-4.943847656,-3.967285156
412447,-0.030761719,0.926025391,0.422119141,0.854492188,-4.39453125,-4.150390625
412473,-0.022949219,0.937255859,0.434326172,-0.305175781,-4.638671875,-4.943847656
412499,-0.017700195,0.968994141,0.454467773,0.122070313,-3.112792969,-4.943847656
412525,-0.008911133,0.976318359,0.48059082,0.732421875,-1.831054688,-4.028320313
412552,0.010986328,1.043579102,0.495849609,0.732421875,0.427246094,-1.770019531
412578,0.016357422,1.08605957,0.532592773,-8.117675781,0,1.586914063
412604,0.05456543,1.109130859,0.583007813,-12.75634766,-1.159667969,7.202148438
412630,0.085205078,1.173095703,0.624023438,-20.99609375,-3.967285156,18.37158203
412656,0.084106445,1.179321289,0.604125977,-35.94970703,-9.094238281,30.76171875
412683,0.072387695,1.173706055,0.612426758,-44.06738281,-11.23046875,39.24560547
