timestamp,ax,ay,az,gx,gy,gz
602120,-0.022949219,0.931396484,0.448852539,29.66308594,-20.26367188,-0.122070313
602147,-0.016845703,0.945068359,0.437988281,25.45166016,-17.02880859,1.770019531
602173,-0.007324219,0.876098633,0.422973633,12.20703125,-17.76123047,2.502441406
602199,0.003051758,0.891967773,0.40625,8.7890625,-17.45605469,0.427246094
602225,0.013793945,0.96081543,0.362792969,-2.44140625,-15.74707031,-1.159667969
602251,0.028320313,0.944091797,0.374755859,-24.16992188,-10.7421875,-3.479003906
602278,0.041381836,0.907348633,0.380493164,-36.1328125,-7.080078125,-4.577636719
602304,0.038818359,0.971679688,0.403198242,-57.55615234,-1.098632813,-6.530761719
602330,0.019775391,0.982788086,0.486450195,-98.32763672,4.516601563,-7.751464844
602356,0.007324219,0.883300781,0.538574219,-111.8164063,4.333496094,-4.821777344
602382,0.004516602,0.823608398,0.624145508,-113.6474609,3.051757813,0.732421875
602409,-0.005126953,0.82421875,0.747314453,-121.7651367,-0.915527344,1.220703125
602435,-0.014770508,0.759399414,0.798461914,-114.7460938,-10.43701172,0.183105469
602461,0.020751953,0.663208008,0.786987305,-87.40234375,-4.821777344,13.73291016
602487,0.026000977,0.626464844,0.789550781,-71.22802734,-3.112792969,13.12255859
602514,0.062744141,0.616943359,0.783691406,-57.92236328,2.990722656,18.5546875
602540,0.052612305,0.545776367,0.806762695,-52.42919922,6.408691406,18.5546875
602566,0.040649414,0.4140625,0.775024414,-30.88378906,9.521484375,16.66259766
602592,0.025268555,0.358886719,0.713012695,2.44140625,22.15576172,13.36669922
602618,0.037841797,0.401977539,0.747680664,28.3203125,31.06689453,9.765625
602644,0.012451172,0.352783203,0.874633789,71.59423828,33.93554688,6.591796875
602671,-0.005249023,0.427246094,0.880981445,133.5449219,28.13720703,12.20703125
602697,-0.028686523,0.575073242,0.737426758,163.9404297,24.4140625,12.87841797
602723,-0.06652832,0.838623047,0.552246094,175.2319336,17.21191406,5.615234375
602749,-0.091064453,0.992675781,0.536010742,142.4560547,12.87841797,0.061035156
602775,-0.067382813,0.941040039,0.507202148,123.2910156,7.446289063,7.873535156
602801,-0.074951172,1.014648438,0.506958008,118.4692383,6.34765625,7.751464844
602828,-0.064819336,1.046508789,0.43371582,104.9194336,0,8.728027344
602854,-0.072387695,1.071533203,0.399169922,96.49658203,-2.136230469,7.202148438
602880,-0.062255859,1.062744141,0.325195313,82.88574219,-5.737304688,8.728027344
602906,-0.086547852,1.092651367,0.291748047,66.83349609,-6.286621094,9.582519531
602932,-0.068481445,1.103149414,0.287353516,55.6640625,-5.187988281,10.37597656
602958,-0.079833984,1.113647461,0.276733398,50.59814453,0.305175781,13.54980469
602985,-0.048828125,1.108032227,0.203369141,39.12353516,2.807617188,26.48925781
603011,-0.033325195,1.099609375,0.208618164,32.40966797,5.493164063,30.2734375
603037,-0.014892578,1.090209961,0.211547852,23.07128906,3.601074219,34.05761719
603063,0.029541016,1.088378906,0.187988281,12.20703125,0.549316406,38.39111328
603089,0.049438477,1.088500977,0.198730469,7.32421875,2.258300781,41.56494141
603116,0.081176758,1.098632813,0.201538086,-3.051757813,-0.061035156,41.13769531
603142,0.105712891,1.109375,0.207275391,-11.35253906,0.671386719,42.41943359
603168,0.131958008,1.061767578,0.232421875,-18.24951172,2.319335938,45.65429688
603194,0.172851563,1.060424805,0.213623047,-25.20751953,2.319335938,44.25048828
603220,0.200195313,1.079223633,0.220581055,-36.19384766,1.831054688,45.95947266
603246,0.185058594,1.083740234,0.27746582,-46.26464844,3.173828125,49.62158203
603273,0.229980469,1.031616211,0.260864258,-53.46679688,2.258300781,49.19433594
603299,0.267456055,1.000732422,0.284423828,-64.69726563,0.122070313,50.04882813
603325,0.217651367,1.031494141,0.389526367,-88.56201172,-13.54980469,58.59375
603352,0.355712891,0.811279297,0.302490234,-88.8671875,-19.28710938,56.21337891
603378,0.343017578,0.780395508,0.338012695,-47.24121094,14.03808594,48.46191406
603404,0.369873047,0.658569336,0.261108398,-26.18408203,33.99658203,35.70556641
603431,0.486572266,0.536254883,0.299316406,-14.34326172,54.80957031,28.13720703
603457,0.354370117,0.680664063,0.389282227,-78.125,-12.57324219,27.03857422
603483,0.361206055,0.721557617,0.399658203,-41.62597656,22.52197266,-4.333496094
603509,0.326782227,0.773681641,0.422973633,-59.26513672,0.48828125,25.02441406
603535,0.298217773,0.694580078,0.516723633,-55.84716797,3.234863281,17.08984375
603561,0.350341797,0.619873047,0.51171875,-59.99755859,-11.77978516,25.69580078
603588,0.366210938,0.602539063,0.496704102,-49.01123047,-6.591796875,22.52197266
603614,0.406616211,0.586181641,0.478759766,-29.17480469,6.225585938,12.87841797
603640,0.349975586,0.606933594,0.549926758,-27.52685547,5.920410156,12.32910156
603666,0.360717773,0.6171875,0.577026367,-23.92578125,6.958007813,9.216308594
603692,0.346801758,0.604980469,0.618286133,-21.24023438,5.737304688,11.71875
603719,0.373413086,0.633300781,0.614013672,-17.02880859,4.272460938,11.35253906
