timestamp,ax,ay,az,gx,gy,gz
792307,0.028442383,0.960693359,0.203369141,47.60742188,-2.014160156,-15.07568359
792334,0.010009766,0.998901367,0.210693359,40.16113281,-3.723144531,-19.22607422
792359,0.002441406,1.025878906,0.205810547,32.04345703,-7.8125,-19.71435547
792385,-0.00378418,1.032470703,0.190551758,24.78027344,-10.07080078,-20.08056641
792411,-0.021850586,1.065307617,0.17199707,26.73339844,-14.77050781,-14.34326172
792437,-0.014770508,1.040283203,0.168457031,25.26855469,-15.86914063,-11.53564453
792463,-0.016479492,1.046020508,0.129516602,30.39550781,-14.09912109,-10.86425781
792489,-0.022216797,1.0625,0.130615234,29.11376953,-11.47460938,-11.59667969
792515,-0.003173828,1.044921875,0.081420898,22.82714844,-17.88330078,-6.713867188
792541,-0.010864258,1.048583984,0.072021484,14.70947266,-16.90673828,-8.056640625
792567,-0.010498047,1.014404297,0.059814453,14.22119141,-14.03808594,-6.530761719
792593,-0.009765625,1.022216797,0.045166016,15.31982422,-12.02392578,-5.737304688
792619,0.000244141,1.005859375,0.052124023,12.20703125,-14.03808594,-2.136230469
792646,-0.001586914,1.002929688,0.05065918,12.93945313,-12.20703125,-2.868652344
792672,0.002685547,1.008422852,0.034301758,12.02392578,-13.12255859,-3.356933594
792698,0.000854492,1.02746582,0.02722168,9.704589844,-11.90185547,-6.530761719
792724,0.014404297,1.080688477,0.048706055,4.638671875,-9.826660156,-6.164550781
792750,0.031494141,1.119506836,0.059692383,1.342773438,-8.911132813,-4.333496094
792776,0.038696289,1.147338867,0.08581543,0.244140625,-8.056640625,-2.075195313
792803,0.011474609,1.169799805,0.083862305,2.502441406,-7.873535156,5.126953125
792829,0.009643555,1.195800781,0.079223633,-1.525878906,-9.887695313,9.765625
792855,0.033203125,1.188720703,0.096313477,-14.89257813,-12.57324219,13.79394531
792881,0.037475586,1.16027832,0.110839844,-23.55957031,-9.338378906,18.18847656
792907,0.044433594,1.161743164,0.113525391,-28.07617188,-7.8125,20.14160156
792934,0.03894043,1.158691406,0.139892578,-38.51318359,-9.094238281,21.05712891
792960,0.045898438,1.134033203,0.165771484,-51.14746094,-8.972167969,22.15576172
792986,0.056152344,1.105957031,0.187133789,-58.16650391,-8.483886719,23.55957031
793012,0.06652832,1.07409668,0.209960938,-68.11523438,-8.605957031,24.10888672
793038,0.091918945,1.004150391,0.24206543,-78.55224609,-9.643554688,24.78027344
793064,0.114257813,0.968261719,0.262573242,-85.75439453,-6.34765625,20.62988281
793090,0.141967773,0.902709961,0.29699707,-91.00341797,-2.258300781,15.74707031
793117,0.145263672,0.850341797,0.342407227,-95.52001953,3.295898438,6.774902344
793143,0.117431641,0.835083008,0.345581055,-91.24755859,6.286621094,-1.708984375
793169,0.089233398,0.814208984,0.374511719,-84.77783203,6.713867188,-4.943847656
793196,0.079956055,0.815795898,0.416381836,-73.54736328,8.850097656,-7.690429688
793222,0.076782227,0.804321289,0.448974609,-66.83349609,9.27734375,-9.033203125
793248,0.082397461,0.788208008,0.473999023,-66.65039063,8.30078125,-8.605957031
793274,0.07043457,0.796020508,0.534912109,-66.65039063,8.178710938,-8.178710938
793300,0.060668945,0.801269531,0.573242188,-66.16210938,5.187988281,-7.873535156
793327,0.056274414,0.781616211,0.586303711,-62.31689453,2.868652344,-6.958007813
793353,0.069091797,0.751586914,0.63659668,-51.14746094,3.845214844,-3.540039063
793379,0.040405273,0.787719727,0.670410156,-48.95019531,6.103515625,-1.953125
793405,0.036132813,0.786621094,0.684570313,-55.84716797,2.685546875,-0.610351563
793431,0.035400391,0.749267578,0.710083008,-64.453125,-0.854492188,2.807617188
793458,0.035522461,0.72265625,0.743652344,-63.78173828,0.427246094,6.591796875
793484,0.031005859,0.71862793,0.752319336,-65.36865234,-1.220703125,8.422851563
793510,0.051757813,0.640136719,0.77722168,-68.48144531,-1.953125,12.02392578
793536,0.053344727,0.58984375,0.80078125,-57.98339844,1.46484375,16.29638672
793562,0.033569336,0.606201172,0.830688477,-54.01611328,2.380371094,16.66259766
793588,0.032470703,0.570922852,0.843017578,-63.90380859,-4.150390625,18.06640625
793615,0.075561523,0.447631836,0.832885742,-66.16210938,-1.525878906,20.75195313
793641,0.078735352,0.420776367,0.852172852,-47.91259766,10.80322266,21.91162109
793667,0.055053711,0.465209961,0.876831055,-33.14208984,15.80810547,23.13232422
793693,0.04309082,0.469116211,0.899291992,-48.09570313,4.150390625,23.25439453
793719,0.067626953,0.406494141,0.884643555,-57.55615234,0.793457031,21.60644531
793745,0.069335938,0.33984375,0.899414063,-56.94580078,4.150390625,20.99609375
793771,0.062866211,0.320922852,0.928222656,-57.49511719,4.577636719,20.75195313
793798,0.075683594,0.287841797,0.914428711,-62.43896484,1.953125,18.85986328
793824,0.096557617,0.193969727,0.890380859,-64.14794922,2.075195313,17.51708984
793850,0.077758789,0.168823242,0.898071289,-56.51855469,4.760742188,15.01464844
793876,0.066040039,0.171142578,0.905029297,-56.82373047,4.333496094,12.51220703
793902,0.067260742,0.131103516,0.905029297,-60.91308594,4.211425781,10.86425781
793928,0.056640625,0.079223633,0.897583008,-60.24169922,5.432128906,10.25390625
793955,0.063354492,0.038452148,0.911743164,-47.05810547,13.00048828,11.41357422
793981,0.02722168,0.076904297,0.955688477,-43.39599609,14.40429688,10.86425781
794007,-0.006713867,0.111083984,0.970214844,-58.16650391,8.7890625,8.728027344
794033,0.018310547,0.002929688,0.942871094,-64.33105469,9.704589844,9.521484375
794059,0.018798828,-0.074829102,0.953491211,-48.40087891,11.65771484,14.28222656
794085,-0.014526367,-0.010498047,0.999511719,-39.85595703,11.65771484,14.52636719
794112,-0.030639648,0.002441406,0.979125977,-59.32617188,-0.305175781,13.48876953
794138,-0.020019531,-0.08203125,0.942260742,-73.73046875,-7.507324219,14.22119141
794164,0.019897461,-0.233642578,0.969482422,-58.65478516,1.281738281,14.22119141
794190,-0.002319336,-0.177734375,0.981689453,-37.04833984,3.479003906,19.04296875
794216,-0.01965332,-0.135131836,0.987182617,-39.18457031,0.793457031,15.93017578
794242,-0.023071289,-0.166870117,0.96472168,-58.28857422,-9.704589844,16.90673828
794268,0.019042969,-0.326171875,0.949829102,-59.14306641,-5.737304688,15.19775391
794295,-0.016235352,-0.313598633,0.957885742,-39.0625,2.136230469,16.78466797
794321,-0.030029297,-0.270385742,0.971801758,-23.49853516,4.638671875,18.37158203
794347,-0.038085938,-0.252319336,0.960205078,-33.26416016,-5.493164063,16.6015625
794373,-0.048217773,-0.256225586,0.936035156,-45.77636719,-12.63427734,15.13671875
794399,-0.019042969,-0.335205078,0.913452148,-61.27929688,-19.22607422,18.18847656
794426,-0.014526367,-0.388183594,0.885375977,-59.50927734,-15.99121094,20.87402344
794452,-0.011230469,-0.393798828,0.862670898,-56.21337891,-13.85498047,26.48925781
794478,-0.029052734,-0.419189453,0.854614258,-57.49511719,-8.422851563,36.68212891
794505,-0.045898438,-0.474609375,0.849243164,-55.90820313,-8.605957031,30.2734375
794531,-0.037109375,-0.505249023,0.815673828,-48.64501953,-8.911132813,26.18408203
794557,-0.051757813,-0.489379883,0.809448242,-36.31591797,-6.042480469,26.48925781
794583,-0.075561523,-0.509399414,0.797241211,-29.05273438,-3.112792969,26.00097656
794609,-0.080566406,-0.504638672,0.776123047,-23.07128906,-2.502441406,25.87890625
794636,-0.10168457,-0.513061523,0.774169922,-15.01464844,-0.48828125,24.4140625
794662,-0.118041992,-0.498535156,0.775512695,-12.26806641,1.281738281,26.12304688
794688,-0.124511719,-0.506469727,0.771240234,-30.45654297,1.525878906,30.02929688
794714,-0.131225586,-0.546264648,0.764526367,-17.51708984,1.831054688,28.44238281
794740,-0.14831543,-0.571655273,0.784912109,-14.34326172,3.356933594,26.61132813
794766,-0.162597656,-0.573364258,0.803588867,-9.27734375,3.051757813,26.85546875
794793,-0.184570313,-0.590454102,0.801391602,-8.544921875,1.892089844,25.69580078
794819,-0.1953125,-0.591186523,0.790649414,-6.530761719,-0.549316406,22.70507813
794845,-0.201416016,-0.611206055,0.803833008,-2.807617188,-0.183105469,20.75195313
794871,-0.211181641,-0.6015625,0.809936523,0.427246094,-1.037597656,19.04296875
794897,-0.222290039,-0.55847168,0.796142578,1.525878906,-5.310058594,14.09912109
794923,-0.225219727,-0.566894531,0.783935547,-0.854492188,-7.751464844,11.65771484
794950,-0.223144531,-0.569946289,0.786132813,0.183105469,-7.507324219,10.62011719
794976,-0.230712891,-0.555908203,0.781005859,1.220703125,-5.859375,10.19287109
795002,-0.228149414,-0.55090332,0.771850586,1.281738281,-6.225585938,8.7890625
795028,-0.23059082,-0.561889648,0.775268555,1.770019531,-5.615234375,7.263183594
795055,-0.239624023,-0.549682617,0.790893555,2.990722656,-3.723144531,5.920410156
795081,-0.245361328,-0.555175781,0.79296875,1.037597656,-4.089355469,5.004882813
795107,-0.246826172,-0.558227539,0.802490234,-0.732421875,-4.516601563,3.845214844
795133,-0.23840332,-0.575683594,0.787475586,-0.854492188,-5.615234375,2.319335938
795159,-0.238037109,-0.566040039,0.8046875,0.671386719,-5.981445313,0.244140625
795186,-0.242675781,-0.545898438,0.811401367,1.586914063,-6.469726563,-1.403808594
795212,-0.234375,-0.539306641,0.798461914,-0.854492188,-6.774902344,-3.051757813
795238,-0.233154297,-0.545288086,0.792724609,-2.319335938,-7.019042969,-3.356933594
795264,-0.23425293,-0.538085938,0.791137695,-1.098632813,-6.774902344,-3.356933594
795290,-0.238525391,-0.537109375,0.811035156,-0.427246094,-6.896972656,-3.479003906
795317,-0.241821289,-0.542602539,0.820556641,-0.366210938,-7.507324219,-3.540039063
795343,-0.245727539,-0.557617188,0.82824707,0.061035156,-7.446289063,-3.112792969
795369,-0.237426758,-0.575683594,0.827636719,2.807617188,-9.582519531,-3.723144531
795395,-0.221801758,-0.529785156,0.811401367,3.479003906,-16.96777344,-5.859375
795421,-0.199951172,-0.526977539,0.788452148,0.549316406,-17.70019531,-6.286621094
795448,-0.19128418,-0.529785156,0.756347656,0.427246094,-15.13671875,-5.493164063
795474,-0.184326172,-0.499633789,0.741210938,-0.183105469,-13.54980469,-3.41796875
795500,-0.184814453,-0.501464844,0.755126953,-1.525878906,-9.582519531,-1.647949219
795526,-0.184204102,-0.512939453,0.764892578,-2.502441406,-6.896972656,0
795552,-0.202148438,-0.513061523,0.759521484,-6.530761719,-5.187988281,1.037597656
795579,-0.202880859,-0.548828125,0.772949219,-12.51220703,-5.798339844,2.197265625
795605,-0.214355469,-0.571411133,0.789916992,-13.97705078,-6.286621094,1.770019531
795631,-0.217285156,-0.627197266,0.808349609,-10.37597656,-8.117675781,0.610351563
795657,-0.215576172,-0.589355469,0.797973633,-1.037597656,-11.23046875,-1.586914063
795683,-0.204101563,-0.560058594,0.779418945,-3.234863281,-11.35253906,-2.258300781
795710,-0.196289063,-0.575073242,0.774902344,-10.98632813,-11.47460938,-2.990722656
795736,-0.181518555,-0.632446289,0.759277344,-5.920410156,-10.13183594,-3.295898438
795762,-0.192382813,-0.590087891,0.761352539,2.197265625,-8.7890625,-4.638671875
795788,-0.197265625,-0.560424805,0.767700195,5.065917969,-7.263183594,-4.943847656
795814,-0.194946289,-0.558227539,0.754638672,-0.854492188,-3.540039063,-4.8828125
795841,-0.201782227,-0.581542969,0.766845703,-2.624511719,-1.159667969,-4.455566406
795867,-0.201171875,-0.5859375,0.770874023,2.44140625,-3.295898438,-3.967285156
795893,-0.201049805,-0.564819336,0.7734375,6.164550781,-7.202148438,-4.699707031
795919,-0.192016602,-0.568237305,0.755371094,5.737304688,-6.591796875,-4.089355469
795946,-0.185913086,-0.590942383,0.761352539,5.126953125,-3.112792969,-3.845214844
795972,-0.183105469,-0.588012695,0.779907227,9.033203125,-3.601074219,-4.333496094
795998,-0.18762207,-0.560424805,0.773925781,9.948730469,-3.112792969,-5.249023438
796025,-0.189575195,-0.551635742,0.764160156,4.699707031,-3.479003906,-5.249023438
796051,-0.187255859,-0.571044922,0.773803711,2.746582031,-4.8828125,-4.638671875
796077,-0.188354492,-0.556274414,0.780639648,4.39453125,-5.37109375,-4.455566406
796103,-0.191040039,-0.548461914,0.786132813,4.516601563,-5.37109375,-4.333496094
796129,-0.190063477,-0.547973633,0.778564453,2.014160156,-3.41796875,-3.540039063
796156,-0.193359375,-0.557128906,0.772705078,1.831054688,-1.953125,-2.685546875
796182,-0.197753906,-0.549560547,0.785766602,2.380371094,-2.014160156,-2.197265625
796208,-0.205078125,-0.544677734,0.7890625,3.479003906,-2.746582031,-1.831054688
796234,-0.20300293,-0.566162109,0.794555664,5.065917969,-1.281738281,-0.610351563
796260,-0.204101563,-0.553710938,0.784790039,8.7890625,-0.671386719,0.244140625
796287,-0.210205078,-0.515258789,0.790893555,4.943847656,-1.159667969,0.366210938
796313,-0.206176758,-0.554077148,0.795898438,-2.746582031,-3.601074219,0.305175781
796339,-0.202514648,-0.583129883,0.78918457,-2.014160156,-3.356933594,0.427246094
796365,-0.204956055,-0.565551758,0.780639648,3.112792969,-8.422851563,-0.549316406
796392,-0.20300293,-0.541870117,0.775512695,0.122070313,-8.30078125,-2.075195313
796418,-0.210205078,-0.554199219,0.784912109,-3.845214844,-5.004882813,-1.586914063
796444,-0.217407227,-0.573852539,0.782836914,-3.356933594,-5.920410156,-1.770019531
796470,-0.211914063,-0.561645508,0.772094727,-1.220703125,-9.704589844,-2.258300781
796496,-0.199584961,-0.567260742,0.756225586,-1.220703125,-9.521484375,-2.319335938
796522,-0.202270508,-0.578857422,0.751342773,0.671386719,-7.873535156,-2.746582031
796549,-0.208496094,-0.555541992,0.780883789,3.845214844,-4.699707031,-2.685546875
